Physical PIN #,Primary Function,SAMC21 PIN #,Supply,ADC,SD-ADC(16-bit),PWM,SERCOM A,MISC
1,5V,-,,,,,,
2,GND,-,,,,,,
3,Multi-Function I/O,PB02,5V,AIN10,,,SER5:0,
4,Multi-Function I/O,PB03,5V,AIN11,,,SER5:1,
5,Multi-Function I/O,PA02,5V,AIN0,,,,DAC
6,Multi-Function I/O,PB08,5V,AIN2,SDADC1:N,TC4:0,SER4:0,
7,Digital I/O,PA28,5V,,,,,
8,Multi-Function I/O,PB09,5V,AIN3,SDADC1:P,TC4:1,SER4:1,
9,Multi-Function I/O,PA04,5V,AIN4,,TC0:0,SER0:0,REFB
10,CAN H,-,,,,,,
11,Multi-Function I/O,PA05,5V,AIN5,,TC0:1,SER0:1,
12,CAN L,-,,,,,,
13,Multi-Function I/O,PA06,5V,AIN6,SDADC0:N,TC1:0,SER0:2,
14,RS485 B,-,,,,,,
15,Multi-Function I/O,PA07,5V,AIN7,SDADC0:P,TC1:1,SER0:3,
16,RS485 A,-,,,,,,
17,GND,-,,,,,,
18,GND,-,,,,,,
19,VIN/BATT,-,,,,,,
20,VIN/BATT,-,,,,,,
